"S.No,Taluka,Site Name,Latitude,Longitude,Nitrate_mg_per_L"
"148,Parseoni,Satak,21.3367,79.2661,72"
"149,Ramtek,Amgaon,21.3881,79.3489,10"
"150,Parsioni,Tamaswadi,21.3111,79.1350,4"
"151,Parsioni,Guramde,21.3136,79.1750,9"
"152,Parsioni,Kharanbad,21.3739,79.1139,59"
"153,Parsioni,Khubala,21.4656,78.9956,9"
"154,Saoner,Tembhurdoh,21.5047,78.9472,29"
"155,Saoner,Waki,21.3358,79.0250,41"
"156,Saoner,Gujarwadi,21.3756,78.9436,39"
"157,Saoner,Khurajgaon,21.4147,78.9081,33"
"158,Saoner,Nanda Kourd,21.4414,78.9583,6"
"159,Saoner,Kawatha,21.4753,78.9047,39"
"160,Parseoni,SuwarDhara,21.4856,79.1256,14"
"161,Parseoni,Bitoli,21.4347,79.1650,12"
"162,Parseoni,Mahul,21.4150,79.1883,9"
"163,Parseoni,Khandala,21.2189,79.2672,3"
"164,Parseoni,Kherdi,21.2600,79."
